      dNpipm/dy     dV/dy[fm3]        Vc[fm3]            d/p          He3/p         H3La/p          He4/p
      0.0766118              1              1    4.39316e-05    7.18969e-10    2.74001e-10    1.04936e-14
       0.111174        1.39317        1.39317     5.3271e-05    1.07856e-09    4.52602e-10    1.83853e-14
       0.163537        1.94091        1.94091    6.65589e-05    1.72585e-09     7.7999e-10    3.51208e-14
        0.24466        2.70402        2.70402    8.55916e-05    2.93138e-09    1.39649e-09    7.33834e-14
       0.373351        3.76715        3.76715    0.000113073    5.25294e-09    2.58693e-09    1.67317e-13
       0.581907        5.24826        5.24826    0.000153105    9.87053e-09    4.93896e-09    4.13383e-13
       0.924051        7.31171        7.31171    0.000211909    1.93339e-08    9.67768e-09    1.09583e-12
        1.48162        10.1864        10.1864    0.000298724    3.92104e-08    1.93529e-08    3.07929e-12
        2.36001        14.1914        14.1914    0.000426539    8.15386e-08    3.91534e-08    9.02968e-12
        3.67016         19.771         19.771    0.000611603    1.71281e-07    7.90859e-08    2.70485e-11
         5.5338        27.5443        27.5443    0.000869954    3.55908e-07     1.5672e-07    8.04872e-11
        8.13402        38.3738        38.3738     0.00120938    7.13181e-07    2.98575e-07    2.30143e-10
        11.7495        53.4611        53.4611     0.00161717    1.34026e-06    5.34787e-07    6.09339e-10
        16.7693        74.4802        74.4802     0.00205072    2.29784e-06    8.79415e-07    1.43661e-09
        23.7381        103.763        103.763      0.0024505    3.52682e-06    1.30482e-06    2.92047e-09
        33.4264         144.56         144.56     0.00277631     4.8482e-06    1.74736e-06    5.06374e-09
        46.9118        201.396        201.396     0.00302335    6.08032e-06     2.1491e-06    7.59963e-09
        65.6923        280.578        280.578     0.00320516    7.12554e-06    2.48297e-06    1.01659e-08
        91.8522        390.892        390.892     0.00333743    7.96229e-06    2.74623e-06    1.24926e-08
        128.294        544.578        544.578     0.00343314    8.60849e-06    2.94734e-06    1.44523e-08
        179.063        758.688        758.688     0.00350218    9.09614e-06    3.09792e-06    1.60233e-08
        249.789        1056.98        1056.98     0.00355191    9.45855e-06     3.2092e-06    1.72415e-08
        348.322        1472.55        1472.55     0.00358769    9.72511e-06    3.29073e-06    1.81646e-08
        485.599         2051.5         2051.5     0.00361337    9.91966e-06    3.35005e-06    1.88529e-08
         676.85        2858.09        2858.09     0.00363182     1.0061e-05    3.39308e-06    1.93606e-08
        943.273        3981.79        3981.79     0.00364517    1.01636e-05    3.42423e-06    1.97331e-08
        1314.43         5547.3         5547.3     0.00365478    1.02376e-05    3.44667e-06    2.00035e-08
        1831.53        7728.32        7728.32     0.00366163     1.0291e-05    3.46297e-06    2.01999e-08
           2552        10766.8        10766.8     0.00366656    1.03301e-05    3.47493e-06    2.03443e-08
        3555.81          15000          15000     0.00366989    1.03569e-05      3.483e-06    2.04435e-08
            HML            HML            HML     0.00367894    1.04273e-05    3.50421e-06    2.07054e-08
