            dNchdeta               error              T[MeV]               error              gammaS               error              V[fm3]               error             Vc[fm3]               error                chi2             chi2dof            accuracy      accuracy_error                p/pi                K/pi              phi/pi               La/pi               Xi/pi               Om/pi              K*0/K-             rho0/pi              La*/La          Ksi*0/Ksi-           Ksi**-/La             Del++/p            Sig*+/La            Sig*-/La
                  45                   0             169.895             3.03243             0.89391            0.028076             86.5298             12.0725             86.5298                   0             17.9574             3.59147            0.126602            0.070664           0.0694383            0.164178           0.0225224           0.0377315          0.00531601         0.000778607            0.325964            0.123408           0.0873235            0.392931           0.0114446            0.190575            0.120831            0.117066
                36.2                   0             172.066             3.19459            0.876539           0.0271687             64.4546             9.47805             64.4546                   0             20.1325              4.0265            0.139602           0.0697543           0.0710065            0.161043           0.0222271           0.0380095          0.00516904         0.000726427            0.330245            0.124759           0.0890776            0.395705           0.0113682            0.191236            0.121119            0.117391
                30.5                   0             172.517             3.15943             0.86572           0.0263735             54.4053              7.8747             54.4053                   0             19.0063             3.80127            0.134212           0.0693984           0.0706356            0.158788           0.0219395           0.0373424           0.0049277         0.000662449            0.331182            0.125604           0.0895725             0.39607           0.0110971             0.19069            0.121028            0.117311
                23.2                   0             174.388             3.19833             0.85474           0.0256282             39.6498             5.79842             39.6498                   0             20.6279             4.12558            0.139992           0.0705704           0.0708432             0.15607           0.0219699           0.0370516          0.00466946         0.000587459            0.334442            0.127258           0.0912004            0.398197           0.0108555            0.190126            0.120968            0.117289
                16.1                   0             177.446             3.42801            0.828915           0.0249369             25.6422             4.00327             25.6422                   0             25.6785              5.1357             0.17758           0.0783733           0.0705322            0.149826           0.0216913           0.0357444          0.00408441         0.000449497            0.339349            0.130353           0.0939362            0.401386           0.0102237            0.188838            0.120747            0.117134
                 9.8                   0             186.004             4.00291            0.800023           0.0233397             12.3255             2.15531             12.3255                   0             54.2187             10.8437            0.314545           0.0897466           0.0714335            0.139956           0.0224025           0.0346611           0.0033654         0.000306128            0.349129            0.136229            0.100825            0.410298          0.00958204            0.187097            0.120209            0.116766
                 4.4                   0             191.228             4.23507            0.706331            0.022001             6.20579             1.06893             6.20579                   0              90.038             18.0076            0.510246            0.102125           0.0578926            0.108258           0.0213673           0.0222921          0.00141574         7.91835e-05             0.34192            0.152602            0.106167            0.413162          0.00661539            0.178622            0.116611            0.113314
