            dNchdeta               error              T[MeV]               error              gammaS               error              V[fm3]               error             Vc[fm3]               error                chi2             chi2dof            accuracy      accuracy_error                p/pi                K/pi              phi/pi               La/pi               Xi/pi               Om/pi              K*0/K-             rho0/pi              La*/La          Ksi*0/Ksi-           Ksi**-/La             Del++/p            Sig*+/La            Sig*-/La
                  45                   0             164.336             2.79597            0.879739            0.029178             107.552              13.904             107.552                   0             17.8643             3.57286            0.143486           0.0796575           0.0673044             0.16333           0.0203945           0.0354806          0.00523554         0.000832279            0.315129            0.119561           0.0827736            0.385202           0.0110939            0.190716            0.120592            0.116718
                36.2                   0              165.14             2.85752            0.863286            0.028388             84.0352             11.1394             84.0352                   0             16.7614             3.35228            0.129991           0.0732029           0.0683975            0.160848           0.0198569           0.0354804          0.00514984         0.000809038            0.317186            0.120079           0.0834199            0.386358           0.0110391            0.191576            0.120888            0.117023
                30.5                   0             164.278             2.77821            0.848508           0.0278114             74.6608             9.58098             74.6608                   0             16.2335             3.24669            0.134728           0.0760445           0.0675093            0.158285           0.0191021           0.0343367          0.00489149         0.000749676            0.315597             0.12001           0.0828282            0.384913           0.0107023            0.190978            0.120719            0.116839
                23.2                   0             163.831             2.71747            0.832018           0.0272067             59.1837             7.44944             59.1837                   0             16.4124             3.28248            0.136344            0.076104           0.0671218            0.155514           0.0183628           0.0334382          0.00466866         0.000698895            0.314918            0.120096           0.0825448            0.384103           0.0104223            0.190748            0.120665            0.116777
                16.1                   0             162.621              2.6823            0.799579           0.0265153             44.3964             5.55661             44.3964                   0             16.4867             3.29735            0.152777           0.0797682           0.0659519            0.149936           0.0168918           0.0314687           0.0042145         0.000599858            0.312786             0.12011           0.0817283             0.38198          0.00982326            0.189976            0.120448            0.116538
                 9.8                   0             162.605             2.63945            0.775373           0.0254426             27.4747             3.39692             27.4747                   0             13.4762             2.69523             0.13033           0.0750196           0.0661373            0.145965           0.0159761           0.0306147          0.00397879          0.00054912            0.313171            0.120461           0.0817818            0.381804          0.00953087            0.190197            0.120541            0.116627
                 4.4                   0             158.512             2.63401            0.741045           0.0284307             14.9466             1.92464             14.9466                   0             10.7881             2.15763            0.136078           0.0958959           0.0614157            0.139052           0.0140617           0.0267946          0.00329512         0.000418402            0.303955            0.119003           0.0786996            0.374917          0.00847591             0.18656            0.119332             0.11536
