            dNchdeta               error              T[MeV]               error              gammaS               error              V[fm3]               error             Vc[fm3]               error                chi2             chi2dof            accuracy      accuracy_error                p/pi                K/pi              phi/pi               La/pi               Xi/pi               Om/pi              K*0/K-             rho0/pi              La*/La          Ksi*0/Ksi-           Ksi**-/La             Del++/p            Sig*+/La            Sig*-/La
                18.9                   0             176.326             2.99702            0.854446           0.0240967             30.5186             4.08296             30.5186                   0             21.5385             4.30769            0.143236           0.0757289           0.0709901            0.155068           0.0224763           0.0371922          0.00454371         0.000545677            0.337403            0.128665           0.0928158            0.400447           0.0107808            0.189475            0.120843            0.117205
                12.5                   0             182.917             3.23576            0.859604           0.0234603             16.3513             2.29903             16.3513                   0             24.1007             4.82013            0.178385           0.0847858           0.0721762            0.152872           0.0243163           0.0382381          0.00434179         0.000474183             0.34584            0.132318           0.0980097             0.40789           0.0108283             0.18799            0.120449            0.116944
               9.275                   0             187.204             3.40956            0.835468           0.0215084             11.1591             1.60674             11.1591                   0             30.4371             6.08742            0.250688           0.0994828           0.0712093            0.145243           0.0244195           0.0363315          0.00369742         0.000354728             0.34972            0.136149            0.101589            0.411901           0.0101734            0.186152            0.119854            0.116438
                6.06                   0             196.129             4.17389             0.81531           0.0227128             6.01794             1.00926             6.01794                   0             54.9294             10.9859            0.443829            0.131818           0.0699413            0.134518           0.0260246           0.0340263          0.00299068         0.000246836            0.352693            0.142822            0.108392            0.419893          0.00961386            0.183208            0.118409            0.115165
                3.08                   0             202.391             5.73892            0.717508           0.0237929             3.45172            0.753534             3.45172                   0             92.7437             18.5487            0.604441            0.147788            0.059287            0.105476           0.0249386           0.0227412          0.00137332         7.55889e-05            0.338328            0.158979            0.113854            0.422849          0.00698876            0.177617               0.115            0.111892
