            dNchdeta               error              T[MeV]               error              gammaS               error              V[fm3]               error             Vc[fm3]               error                chi2             chi2dof            accuracy      accuracy_error                p/pi                K/pi              phi/pi               La/pi               Xi/pi               Om/pi              K*0/K-             rho0/pi              La*/La          Ksi*0/Ksi-           Ksi**-/La             Del++/p            Sig*+/La            Sig*-/La
                  45                   0             166.141             2.86759            0.884626           0.0287926             100.119             13.2629             300.357                   0             17.4207             3.48414            0.133243           0.0756411           0.0680196            0.163688           0.0211005           0.0362333          0.00526756         0.000815219            0.318825            0.120886           0.0842628            0.387787           0.0112153            0.190744            0.120703            0.116864
                36.2                   0             167.389             2.95748            0.868022           0.0279422             76.9715             10.5459             230.914                   0             17.0917             3.41835             0.12598           0.0700655           0.0692884             0.16104           0.0206509           0.0363449          0.00516716         0.000782923              0.3217            0.121705           0.0852727            0.389509           0.0111606             0.19158            0.121014            0.117193
                30.5                   0             166.941             2.88915            0.854733           0.0272819             67.2379             8.96392             201.714                   0             15.9946             3.19893             0.12411            0.071062           0.0685841            0.158639           0.0200533           0.0353711          0.00491878         0.000722456            0.321024            0.121969           0.0850313            0.388682           0.0108502            0.191047            0.120891            0.117063
                23.2                   0             167.227             2.85675            0.840588           0.0266007             51.8071             6.84508             155.421                   0             15.8505              3.1701            0.121381           0.0695464           0.0684418            0.156038           0.0195815           0.0347226          0.00469661         0.000664366             0.32184            0.122635           0.0853664            0.388901           0.0105968            0.190806             0.12088            0.117058
                16.1                   0             167.405             2.88606            0.812531           0.0258104             36.8137             4.94682             110.441                   0             15.5179             3.10357            0.129638           0.0702962           0.0677557            0.150795           0.0185822           0.0331886          0.00424016           0.0005544            0.322642            0.123811           0.0857362            0.388761            0.010036            0.190104            0.120776             0.11696
                 9.8                   0             170.424             2.98625            0.793484           0.0243641             20.3803             2.83256              61.141                   0             16.9321             3.38641            0.126425           0.0709055           0.0689237            0.146646           0.0185198            0.033106          0.00394853         0.000469171            0.328673            0.126395           0.0883286             0.39256          0.00976208             0.19016            0.120973            0.117215
                 4.4                   0             172.506             3.18077             0.75663           0.0265569             9.29042             1.39865             27.8713                   0              18.544             3.70879            0.182427           0.0938487           0.0628237            0.135207           0.0181404           0.0282466          0.00272372         0.000236335            0.331907            0.132427           0.0909236            0.393989          0.00811445            0.184865            0.119681            0.115998
