            dNchdeta               error              T[MeV]               error              gammaS               error              V[fm3]               error             Vc[fm3]               error                chi2             chi2dof            accuracy      accuracy_error                p/pi                K/pi              phi/pi               La/pi               Xi/pi               Om/pi              K*0/K-             rho0/pi              La*/La          Ksi*0/Ksi-           Ksi**-/La             Del++/p            Sig*+/La            Sig*-/La
              1447.5                   0              157.43             3.02488             1.00139           0.0426298             4304.78             663.525             4304.78                   0             9.07341             1.81468            0.125614           0.0839608           0.0582169            0.180799           0.0240033           0.0340448          0.00559528         0.000949386            0.296593            0.114878           0.0771772            0.374437           0.0111283            0.183221            0.117929            0.113977
                 966                   0             159.271              3.1029              1.0181           0.0426182             2671.47             414.176             2671.47                   0             11.0538             2.21077            0.122638           0.0824734           0.0602501            0.184045            0.025238           0.0360649          0.00605309          0.00106282            0.300787            0.115546           0.0785407            0.377694           0.0116961            0.184842            0.118456            0.114531
               537.5                   0             160.356             3.07051             1.03738            0.042858             1435.72             216.407             1435.72                   0             11.4634             2.29268            0.125263           0.0786168           0.0613655            0.187384           0.0263969           0.0375669          0.00643813          0.00116357            0.302982            0.115757           0.0793015            0.379635            0.012142            0.185674            0.118701            0.114794
                 205                   0             162.128             3.15538            0.977646            0.041055             519.239             78.8286             519.239                   0             9.92333             1.98467            0.120114           0.0760351           0.0638933            0.178437           0.0241482            0.037113           0.0060334          0.00104472            0.308275            0.117318            0.080819            0.382244           0.0118307            0.187823            0.119508            0.115617
                55.5                   0             161.225             3.19952            0.855233           0.0391115             164.143             23.3715             164.143                   0             7.80081             1.56016            0.128947           0.0924345           0.0638155            0.158616           0.0188072           0.0323826          0.00461435         0.000693486            0.308549            0.118709           0.0805101            0.380054           0.0102351            0.188152            0.119789            0.115868
