            dNchdeta               error              T[MeV]               error              gammaS               error              V[fm3]               error             Vc[fm3]               error                chi2             chi2dof            accuracy      accuracy_error                p/pi                K/pi              phi/pi               La/pi               Xi/pi               Om/pi              K*0/K-             rho0/pi              La*/La          Ksi*0/Ksi-           Ksi**-/La             Del++/p            Sig*+/La            Sig*-/La
              1447.5                   0              157.48             3.02694             1.00155           0.0426111             4296.13             662.618             12888.4                   0             9.08713             1.81743            0.125568           0.0840683           0.0582312            0.180807           0.0240289           0.0340643          0.00559583          0.00094861            0.296709            0.114923           0.0772197             0.37451           0.0111319            0.183236            0.117937            0.113988
                 966                   0             159.346              3.1059             1.01825             0.04259             2663.64             413.327             7990.93                   0             11.0739             2.21477            0.122725           0.0824618           0.0602733            0.184054           0.0252746           0.0360948          0.00605377          0.00106157            0.300957            0.115617           0.0786047            0.377804           0.0117013            0.184841             0.11846            0.114539
               537.5                   0             160.486              3.0761             1.03768           0.0428136              1428.4             215.683             4285.21                   0             11.4554             2.29109            0.125065           0.0785345           0.0614047            0.187413            0.026464           0.0376223          0.00644073          0.00116185             0.30328            0.115876           0.0794124            0.379842           0.0121532            0.185658            0.118706            0.114801
                 205                   0             162.461             3.16795            0.978831           0.0409753             512.446             78.0829             1537.34                   0             9.87629             1.97526            0.119916           0.0756485           0.0639803            0.178541           0.0243209           0.0372524          0.00603927          0.00104018            0.308994              0.1176           0.0810996            0.382742           0.0118566            0.187794            0.119522            0.115638
                55.5                   0             162.379             3.23014            0.860307           0.0388977             156.886             22.5639             470.657                   0             7.40973             1.48195            0.124392           0.0900931            0.064126            0.159124           0.0193519            0.032835          0.00463003         0.000681383            0.311078            0.119724           0.0814959            0.381777           0.0103052            0.188105             0.11986            0.115961
