            dNchdeta               error              T[MeV]               error              gammaS               error              V[fm3]               error             Vc[fm3]               error                chi2             chi2dof            accuracy      accuracy_error                p/pi                K/pi              phi/pi               La/pi               Xi/pi               Om/pi              K*0/K-             rho0/pi              La*/La          Ksi*0/Ksi-           Ksi**-/La             Del++/p            Sig*+/La            Sig*-/La
                18.9                   0             167.217              2.6588            0.813732           0.0249307             43.5555             5.25202             130.666                   0             23.0224             4.60448            0.153792           0.0681866           0.0681151            0.151315           0.0185368           0.0334218          0.00432437         0.000578054            0.322278            0.123387            0.085518            0.388595           0.0101368            0.190533            0.120868            0.117045
                12.5                   0             169.278             2.69996            0.806404           0.0243792             27.0203             3.29556             81.0608                   0             20.5266             4.10532            0.138102           0.0681528            0.068935            0.149476           0.0187313           0.0336381          0.00419214         0.000530586            0.326387            0.125048           0.0872653            0.391273           0.0100438            0.190567            0.120998            0.117215
               9.275                   0             169.127             2.67777            0.772604           0.0227055             21.1935             2.56307             63.5806                   0             21.8686             4.37373            0.159293           0.0688138             0.06742            0.142838           0.0174985           0.0313733          0.00360834         0.000407777            0.326529            0.126519           0.0874673            0.390521          0.00925272            0.189302            0.120736            0.116957
                6.06                   0             173.001             2.88368            0.777889           0.0237576              12.189             1.59778             36.5669                   0              16.289             3.25779            0.127029           0.0711974           0.0681024            0.142048           0.0186301           0.0320078          0.00348048         0.000360734            0.333179            0.129452           0.0907218            0.395395          0.00920669            0.188631            0.120699               0.117
                3.08                   0             177.547             3.45359            0.753113           0.0267818             5.87163            0.922307             17.6149                   0               12.89               2.578            0.169474            0.104096           0.0626257            0.130985           0.0192651           0.0278124          0.00245078         0.000191602            0.338649            0.136817           0.0951364            0.399912          0.00789648            0.183744            0.119357            0.115778
