            dNchdeta               error              T[MeV]               error              gammaS               error              V[fm3]               error             Vc[fm3]               error                chi2             chi2dof            accuracy      accuracy_error                p/pi                K/pi              phi/pi               La/pi               Xi/pi               Om/pi              K*0/K-             rho0/pi              La*/La          Ksi*0/Ksi-           Ksi**-/La             Del++/p            Sig*+/La            Sig*-/La
              1447.5                   0             157.577             3.03076             1.00169           0.0425748              4279.9             660.946              4279.9                   0             9.11407             1.82281            0.125512           0.0842499           0.0582594             0.18083           0.0240756           0.0341007           0.0055969         0.000947414             0.29695            0.115025           0.0773043            0.374677           0.0111392            0.183218            0.117941             0.11399
                 966                   0             159.491             3.11137             1.01848           0.0425365             2648.37             411.662             2648.37                   0             11.1128             2.22256            0.122908             0.08245           0.0603154            0.184066           0.0253427           0.0361495          0.00605489          0.00105935              0.3013            0.115751           0.0787289            0.378039           0.0117121            0.184845            0.118474            0.114553
               537.5                   0             160.741             3.08629             1.03829           0.0427249             1414.29              214.23             1414.29                   0             11.4399             2.28799            0.124672           0.0783726           0.0614731            0.187452           0.0265949           0.0377247          0.00644387           0.0011577            0.303851              0.1161            0.079628             0.38023           0.0121733            0.185655            0.118724            0.114824
                 205                   0             163.137             3.19549            0.980877           0.0407937             499.194              76.681             499.194                   0             9.80849              1.9617            0.119357           0.0750793           0.0641618              0.1787           0.0246556           0.0375256          0.00604792          0.00103032            0.310443             0.11817           0.0816691            0.383747           0.0119055            0.187724            0.119546            0.115675
                55.5                   0             164.737             3.29712            0.870184           0.0384695             143.245             21.0385             143.245                   0             6.94845             1.38969            0.117112           0.0873345           0.0647226            0.160031           0.0204557           0.0337271          0.00465423          0.00065643            0.316018            0.121701           0.0834973              0.3852           0.0104391            0.187896            0.119955            0.116104
