      dNpipm/dy        Vc[fm3]    (K/pi)toHML   (Xi/pi)toHML  (phi/pi)toHML    (p/pi)toHML   (Om/pi)toHML   (La/pi)toHML   (K*/pi)toHML
       0.117839              6       0.476557      0.0257559        2.08527      0.0935745     0.00577681      0.0714302       0.360751
       0.188941          8.359       0.537883      0.0423343        1.81203       0.132451      0.0108404       0.106249        0.44926
       0.304414        11.6455       0.617782      0.0720539        1.56706       0.189108      0.0215388       0.160406       0.555759
       0.483579        16.2241       0.712785       0.124851        1.37454       0.270635      0.0443289       0.242776       0.674257
       0.745693        22.6029        0.80889       0.212498        1.24206       0.381501       0.090481       0.358896       0.788376
        1.11452        31.4896        0.88566       0.338977        1.15793       0.515818       0.172907       0.501228       0.876404
        1.62791        43.8703       0.933071       0.488345        1.10456       0.653039       0.294161       0.645509       0.929179
        2.34128        61.1186       0.958279       0.629375        1.07003       0.767468       0.435895       0.764163       0.956374
        3.33162        85.1484       0.972282       0.739208        1.04765       0.846601       0.569803       0.845357       0.971126
        4.70739        118.626          0.981         0.8163        1.03301       0.896388       0.679669       0.896063       0.980239
        6.62136        165.266        0.98678       0.869653        1.02317       0.928261       0.764333       0.928308        0.98627
        9.28633        230.243       0.990715       0.907111        1.01639       0.949644        0.82795       0.949816       0.990369
        12.9982        320.767       0.993437        0.93365        1.01165       0.964387       0.875049       0.964579       0.993198
        18.1688        446.881        0.99534       0.952536         1.0083       0.974696       0.909575       0.974868       0.995174
         25.372         622.58        0.99668       0.966012        1.00593       0.981965        0.93472       0.982106       0.996564
        35.4069        867.358       0.997631       0.975646        1.00424        0.98712       0.952953        0.98723       0.997549
        49.3869        1208.37       0.998309       0.982544        1.00304       0.990788       0.966139       0.990874       0.998251
         68.864        1683.47       0.998785       0.987477        1.00217       0.993404       0.975637       0.993464       0.998744
        95.9994        2345.35       0.999117          0.991        1.00154       0.995271       0.982451       0.995309       0.999088
        133.801        3267.47       0.999375       0.993553        1.00111       0.996612       0.987415       0.996644       0.999353
         186.46        4552.13       0.999584       0.995427        1.00083       0.997577       0.991084       0.997618       0.999569
        259.825        6341.87       0.999718       0.996735        1.00062       0.998267       0.993623       0.998306       0.999706
        362.046        8835.28       0.999768       0.997585        1.00043       0.998754       0.995219       0.998769       0.999759
        504.469          12309       0.999788       0.998183        1.00028       0.999098       0.996357       0.999086       0.999782
        702.889        17148.5       0.999835       0.998704        1.00017       0.999346       0.997439       0.999328       0.999832
          979.3        23890.8       0.999906       0.999153        1.00011        0.99953       0.998416       0.999523       0.999904
        1364.37        33283.8        0.99996       0.999464        1.00008       0.999664       0.999073       0.999671       0.999959
        1900.81        46369.9       0.999984        0.99964        1.00007       0.999761       0.999403       0.999773       0.999983
        2648.16          64601       0.999993        0.99974        1.00006        0.99983       0.999555       0.999844       0.999992
        3689.35          90000              1       0.999808        1.00006       0.999882       0.999649       0.999894       0.999999
            HML            HML       0.179618     0.00521761      0.0232506      0.0553682    0.000862914      0.0320184       0.053049
