      dNpipm/dy        Vc[fm3]    (K/pi)toHML   (Xi/pi)toHML  (phi/pi)toHML    (p/pi)toHML   (Om/pi)toHML   (La/pi)toHML   (K*/pi)toHML
      0.0933613              3       0.396715      0.0102303        2.63171      0.0463451     0.00187883      0.0328086       0.230608
       0.143668         4.1795       0.428155      0.0156327        2.38268      0.0646662     0.00311945      0.0472332       0.284491
       0.225991        5.82274       0.471869      0.0246704        2.11038      0.0907199     0.00547394      0.0689698       0.353653
       0.361925        8.11205       0.531583      0.0404109        1.83601       0.128304      0.0102148       0.102429       0.440489
       0.583287        11.3014       0.609817      0.0685933        1.58734       0.183067       0.020203       0.154481       0.545478
       0.928507        15.7448       0.703856       0.118804        1.38944       0.262074      0.0415087       0.233959       0.663398
        1.43606        21.9351       0.800704       0.202917        1.25179       0.370314      0.0849816       0.347072       0.778833
        2.15181        30.5593       0.879916       0.326197        1.16404       0.503155       0.163754       0.487826       0.869915
        3.14842        42.5742        0.92988       0.474693        1.10848       0.641224       0.281936       0.633169       0.925684
        4.53342         59.313       0.956593       0.617717        1.07257       0.758536       0.423012       0.754956       0.954581
        6.45619        82.6328       0.971286       0.730725         1.0493       0.840828       0.558573       0.839457       0.970083
        9.12697        115.121       0.980354       0.810448         1.0341       0.892773       0.670816       0.892393       0.979564
        12.8421        160.383       0.986345       0.865575        1.02392       0.925888       0.757612       0.925914       0.985817
        18.0148        223.441       0.990416       0.904232        1.01691       0.948025        0.82294       0.948191       0.990058
        25.2192         311.29       0.993229       0.931604        1.01201       0.963262        0.87136       0.963454       0.992982
        35.2551        433.679       0.995194       0.951078        1.00856       0.973905       0.906881        0.97408       0.995022
        49.2359        604.187       0.996577       0.964971        1.00611       0.981406       0.932762       0.981549       0.996457
        68.7129        841.734       0.997558       0.974901        1.00437       0.986722       0.951536       0.986835       0.997473
        95.8469        1172.68       0.998257        0.98201        1.00313       0.990505       0.965115       0.990593       0.998197
         133.65        1633.73       0.998749       0.987096        1.00224       0.993202       0.974902       0.993265       0.998706
        186.318        2276.06       0.999091       0.990727        1.00159       0.995127       0.981922       0.995166       0.999061
        259.687        3170.93       0.999353       0.993353        1.00115       0.996508       0.987024       0.996539       0.999331
        361.894        4417.64       0.999568       0.995281        1.00085       0.997503         0.9908       0.997543       0.999552
        504.289        6154.51       0.999709       0.996637        1.00064       0.998214       0.993437       0.998254       0.999698
        702.689        8574.26       0.999765       0.997522        1.00045       0.998717       0.995102       0.998734       0.999757
        979.119        11945.4       0.999785       0.998134        1.00029       0.999071        0.99626       0.999061       0.999779
        1364.24        16641.9        0.99983       0.998658        1.00017       0.999327       0.997342       0.999308       0.999826
        1900.73          23185         0.9999       0.999117        1.00011       0.999516       0.998339       0.999507       0.999898
        2648.11        32300.5       0.999956       0.999442        1.00008       0.999654       0.999029       0.999659       0.999955
        3689.31          45000       0.999983       0.999629        1.00007       0.999753       0.999383       0.999765       0.999982
            HML            HML       0.179618     0.00521761      0.0232506      0.0553682    0.000862914      0.0320184       0.053049
