      dNch/deta       Tch[MeV]      dVdy[fm3]        Vc[fm3]         gammaS           K/pi          Xi/pi         phi/pi           p/pi       Omega/pi          La/pi          K*/pi  omega(782)/pi         K*0/K-         f0/K*0         f0/pi+
        8.03501       0.170582         19.284         57.852        0.78183       0.144498      0.0037894      0.0181013      0.0688236     0.00043647      0.0325445       0.048269       0.124161       0.329129       0.270779      0.0128779
        8.58046       0.170411        20.5931        61.7793       0.783838       0.145071     0.00385554      0.0181149      0.0690429    0.000451914      0.0327463      0.0484147       0.123778       0.328816       0.269045      0.0128339
        9.16294       0.170241        21.9911        65.9732       0.785961       0.145642     0.00391926       0.018136      0.0692287    0.000467077      0.0329348      0.0485585        0.12341       0.328496       0.267374      0.0127919
        9.78496        0.17007        23.4839        70.4517       0.788206       0.146214     0.00398082      0.0181646       0.069384    0.000481976      0.0331118      0.0487014       0.123056       0.328168       0.265755      0.0127517
        10.4492       0.169899        25.0781        75.2343       0.790577       0.146791     0.00404051      0.0182008      0.0695114    0.000496631      0.0332789      0.0488441       0.122714       0.327832       0.264181      0.0127131
        11.1586       0.169728        26.7805        80.3416        0.79308       0.147373     0.00409857      0.0182445      0.0696131    0.000511066      0.0334375      0.0489873       0.122383        0.32749       0.262641      0.0126759
         11.916       0.169557        28.5985        85.7955        0.79572       0.147963     0.00415525      0.0182958      0.0696912    0.000525309      0.0335889      0.0491319       0.122062       0.327141       0.261131        0.01264
         12.725       0.169387        30.5399        91.6197       0.798501       0.148564     0.00421078      0.0183547      0.0697475    0.000539388      0.0337342      0.0492784       0.121749       0.326785       0.259643      0.0126053
        13.5888       0.169216        32.6131        97.8393        0.80143       0.149176     0.00426537      0.0184214      0.0697835    0.000553333      0.0338745      0.0494274       0.121443       0.326423       0.258172      0.0125716
        14.5113       0.169045         34.827        104.481        0.80451       0.149802     0.00431922      0.0184958      0.0698006    0.000567176      0.0340105      0.0495794       0.121145       0.326054       0.256713      0.0125388
        15.4964       0.168874        37.1912        111.574       0.807747       0.150442     0.00437254      0.0185781      0.0698002    0.000580948      0.0341432       0.049735       0.120852       0.325679       0.255261      0.0125068
        16.5483       0.168704         39.716        119.148       0.811145       0.151099     0.00442549      0.0186684      0.0697833    0.000594681      0.0342733      0.0498945       0.120565       0.325298       0.253813      0.0124755
        17.6717       0.168533        42.4121        127.236       0.814707       0.151773     0.00447825      0.0187667       0.069751    0.000608407      0.0344014      0.0500583       0.120282       0.324911       0.252365      0.0124448
        18.8713       0.168362        45.2912        135.874       0.818436       0.152466     0.00453096      0.0188732      0.0697044    0.000622155      0.0345282      0.0502268       0.120003       0.324518       0.250914      0.0124147
        20.1524       0.168191        48.3658        145.097       0.822336       0.153178     0.00458376      0.0189878      0.0696442    0.000635956       0.034654      0.0504002       0.119728       0.324118       0.249459      0.0123851
        21.5204       0.168021        51.6491        154.947       0.826408       0.153911     0.00463679      0.0191107      0.0695714    0.000649838      0.0347795      0.0505788       0.119455       0.323713       0.247996      0.0123559
