      dNch/deta       Tch[MeV]      dVdy[fm3]        Vc[fm3]         gammaS           K/pi          Xi/pi         phi/pi           p/pi       Omega/pi          La/pi          K*/pi  omega(782)/pi         K*0/K-         f0/K*0         f0/pi+
        29.8863       0.167167        71.7272        215.182       0.849357        0.15825     0.00491959      0.0198928      0.0691983     0.00072289      0.0354908      0.0516696        0.11839       0.321598       0.173743     0.00884227
        31.9152       0.166996        76.5964        229.789       0.854449         0.1591     0.00497539       0.020063      0.0690584    0.000737669      0.0356166      0.0518768       0.118118       0.321157       0.174711     0.00892704
        34.0817       0.166825        81.7961        245.388       0.859697       0.159969     0.00503178      0.0202407      0.0689102    0.000752636      0.0357429      0.0520888       0.117847       0.320712       0.175723      0.0090153
        36.3953       0.166654        87.3488        262.046       0.865092       0.160856     0.00508872      0.0204255      0.0687543    0.000767788      0.0358696      0.0523051       0.117577       0.320261       0.176779     0.00910693
         38.866       0.166484        93.2785        279.835       0.870625        0.16176     0.00514617      0.0206169      0.0685911    0.000783117      0.0359965      0.0525252       0.117307       0.319806       0.177874     0.00920173
        41.5044       0.166313        99.6106        298.832       0.876283       0.162679     0.00520404      0.0208146      0.0684212    0.000798607      0.0361233      0.0527487       0.117038       0.319346       0.179005     0.00929949
        44.3219       0.166142        106.373        319.118       0.882052       0.163611     0.00526223      0.0210179      0.0682452    0.000814237      0.0362496      0.0529747        0.11677       0.318881       0.180171     0.00939995
        47.3307       0.165971        113.594        340.781       0.887916       0.164554     0.00532059      0.0212261      0.0680635    0.000829976       0.036375      0.0532027       0.116503       0.318413       0.181365     0.00950281
        50.5438       0.165801        121.305        363.915       0.893857       0.165504     0.00537897      0.0214385      0.0678767    0.000845786      0.0364989      0.0534316       0.116237       0.317941       0.182585      0.0096077
        53.9749        0.16563         129.54        388.619       0.899854       0.166459     0.00543716      0.0216542      0.0676853    0.000861621      0.0366206      0.0536607       0.115972       0.317466       0.183826     0.00971424
         57.639       0.165459        138.334        415.001       0.905884       0.167415     0.00549496      0.0218721      0.0674897    0.000877427      0.0367397      0.0538887        0.11571       0.316988       0.185081     0.00982199
        61.5518       0.165288        147.724        443.173       0.911923       0.168369     0.00555211      0.0220913      0.0672904    0.000893142      0.0368552      0.0541148       0.115449       0.316508       0.186348     0.00993045
        65.7302       0.165118        157.752        473.257       0.917945       0.169316     0.00560834      0.0223106      0.0670881    0.000908694      0.0369664      0.0543375       0.115192       0.316026       0.187618      0.0100391
        70.1922       0.164947        168.461        505.384       0.923922       0.170252     0.00566336      0.0225286      0.0668831    0.000924008      0.0370724      0.0545558       0.114937       0.315544       0.188886      0.0101474
        74.9572       0.164776        179.897        539.692       0.929824       0.171174     0.00571687      0.0227442       0.066676    0.000938999      0.0371725      0.0547683       0.114686       0.315061       0.190147      0.0102547
        80.0457       0.164605         192.11        576.329       0.935623       0.172076     0.00576853      0.0229559      0.0664672    0.000953579      0.0372657      0.0549738       0.114438       0.314579       0.191392      0.0103603
        85.4795       0.164434        205.151        615.453       0.941287       0.172953     0.00581803      0.0231624      0.0662572    0.000967656      0.0373512      0.0551708       0.114196       0.314098       0.192617      0.0104637
        91.2823       0.164264        219.077        657.232       0.946787       0.173802     0.00586503      0.0233622      0.0660464    0.000981135       0.037428      0.0553582       0.113958       0.313618       0.193813      0.0105643
        97.4789       0.164093        233.949        701.848       0.952092       0.174618     0.00590921       0.023554      0.0658354    0.000993922      0.0374954      0.0555346       0.113726       0.313141       0.194975      0.0106612
        104.096       0.163922        249.831        749.493       0.957175       0.175396     0.00595026      0.0237365      0.0656244     0.00100593      0.0375526      0.0556989       0.113499       0.312667       0.196096       0.010754
        111.163       0.163751        266.791        800.372       0.962009       0.176133     0.00598789      0.0239083      0.0654138     0.00101706      0.0375988      0.0558501       0.113279       0.312196        0.19717       0.010842
        118.709       0.163581        284.902        854.705        0.96657       0.176826     0.00602185      0.0240683       0.065204     0.00102725      0.0376336       0.055987       0.113065        0.31173       0.198193      0.0109248
        126.768        0.16341        304.242        912.726       0.970838        0.17747     0.00605191      0.0242155      0.0649953     0.00103642      0.0376563       0.056109       0.112858       0.311268        0.19916      0.0110017
        135.373       0.163239        324.895        974.686       0.974796       0.178064     0.00607791       0.024349      0.0647878     0.00104452      0.0376666      0.0562154       0.112658        0.31081       0.200066      0.0110725
        144.563       0.163068        346.951        1040.85       0.978431       0.178606     0.00609972      0.0244683      0.0645819      0.0010515      0.0376644      0.0563058       0.112466       0.310358       0.200909      0.0111368
        154.376       0.162898        370.504        1111.51       0.981736       0.179095     0.00611728       0.024573      0.0643775     0.00105734      0.0376495        0.05638        0.11228       0.309911       0.201687      0.0111944
        164.856       0.162727        395.655        1186.97       0.984709        0.17953     0.00613059      0.0246627      0.0641749     0.00106204      0.0376222      0.0564379       0.112102        0.30947         0.2024      0.0112452
        176.047       0.162556        422.514        1267.54       0.987351       0.179913     0.00613971      0.0247377       0.063974     0.00106559      0.0375825      0.0564798        0.11193       0.309034       0.203047      0.0112892
        187.998       0.162385        451.196        1353.59        0.98967       0.180244     0.00614476      0.0247982      0.0637748     0.00106804       0.037531      0.0565062       0.111765       0.308603       0.203629      0.0113266
        200.761       0.162215        481.825        1445.48       0.991679       0.180525     0.00614592      0.0248447      0.0635773     0.00106942      0.0374683      0.0565176       0.111607       0.308177        0.20415      0.0113576
        214.389       0.162044        514.534         1543.6       0.993396        0.18076     0.00614342       0.024878      0.0633813      0.0010698      0.0373951      0.0565151       0.111454       0.307755       0.204612      0.0113825
        228.943       0.161873        549.463        1648.39       0.994839       0.180951     0.00613752       0.024899      0.0631867     0.00106925      0.0373121      0.0564996       0.111307       0.307337       0.205019      0.0114018
        244.485       0.161702        586.763        1760.29       0.996034       0.181103     0.00612854      0.0249088      0.0629934     0.00106785      0.0372203      0.0564722       0.111164       0.306923       0.205377      0.0114158
        261.081       0.161531        626.595        1879.79       0.997007       0.181219      0.0061168      0.0249086       0.062801     0.00106569      0.0371207      0.0564342       0.111026       0.306513        0.20569      0.0114253
        278.805       0.161361        669.131        2007.39       0.997783       0.181304     0.00610264      0.0248995      0.0626096     0.00106287      0.0370142      0.0563868       0.110891       0.306104       0.205964      0.0114306
        297.731        0.16119        714.555        2143.66       0.998392       0.181362      0.0060864      0.0248828      0.0624187     0.00105948      0.0369017      0.0563313        0.11076       0.305698       0.206205      0.0114324
        317.943       0.161019        763.062        2289.19       0.998858       0.181397      0.0060684      0.0248596      0.0622283      0.0010556      0.0367842      0.0562689       0.110631       0.305293       0.206418      0.0114312
        339.526       0.160848        814.862        2444.59       0.999208       0.181412     0.00604893      0.0248312      0.0620381     0.00105133      0.0366625      0.0562008       0.110504       0.304889       0.206607      0.0114276
        362.575       0.160678        870.179        2610.54       0.999464       0.181413     0.00602829      0.0247984       0.061848     0.00104674      0.0365375       0.056128       0.110379       0.304486       0.206779       0.011422
        387.188       0.160507        929.251        2787.75       0.999647       0.181401      0.0060067      0.0247623      0.0616578     0.00104189      0.0364098      0.0560514       0.110254       0.304082       0.206936      0.0114148
        413.472       0.160336        992.333           2977       0.999774        0.18138     0.00598438      0.0247236      0.0614674     0.00103684        0.03628      0.0559718        0.11013       0.303679       0.207083      0.0114064
