      dNpipm/dy     dV/dy[fm3]        Vc[fm3]            d/p          He3/p         H3La/p          He4/p
      0.0766118              1              1    4.39316e-05    7.18969e-10    2.74001e-10    1.04936e-14
       0.111174        1.39317        1.39317     5.3271e-05    1.07856e-09    4.52602e-10    1.83853e-14
       0.163537        1.94091        1.94091    6.65589e-05    1.72585e-09     7.7999e-10    3.51208e-14
        0.24466        2.70402        2.70402    8.55916e-05    2.93138e-09    1.39649e-09    7.33834e-14
       0.373351        3.76715        3.76715    0.000113073    5.25294e-09    2.58693e-09    1.67317e-13
