# Hadron yields in pPb collisions at 5.02 TeV measured by ALICE
# Centrality class: V0A2040
# References: 1307.6796 (pi, K, K0S, p), 1512.07227 (Xi, Omega), 1601.07868 (phi)
#is_fitted pdg1 pdg2 feeddown1 feeddown2 value     error                
1          211  0    1         0         10.87399  0.5051266819613677   
1          321  0    1         0         1.4770695 0.1089848247379462   
1          310  0    1         0         1.475587  0.08028009586495063  
1          333  0    1         0         0.185     0.014247806848775007 
1          2212 0    1         0         0.6109375 0.04096404801919714  
1          3122 0    1         0         0.4166135 0.03463113992339584  
1          3312 0    1         0         0.055     0.004260575078554538 
1          3334 0    1         0         0.006     0.0008381527307120105
