# Hadron yields in pPb collisions at 5.02 TeV measured by ALICE
# Centrality class: V0A0510
# References: 1307.6796 (pi, K, K0S, p), 1512.07227 (Xi, Omega), 1601.07868 (phi)
#is_fitted pdg1 pdg2 feeddown1 feeddown2 value     error                
1          211  0    1         0         16.542025 0.7932751490656194   
1          321  0    1         0         2.3177855 0.18376679087908523  
1          310  0    1         0         2.301994  0.12910917077795164  
1          333  0    1         0         0.288     0.02222611077089287  
1          2212 0    1         0         0.926788  0.06425092467872703  
1          3122 0    1         0         0.651754  0.05619866925758981  
1          3312 0    1         0         0.09305   0.006946221994724902 
1          3334 0    1         0         0.01075   0.0015041608956491324
