# Hadron yields in pPb collisions at 5.02 TeV measured by ALICE
# Centrality class: V0A8000
# References: 1307.6796 (pi, K, K0S, p), 1512.07227 (Xi, Omega), 1601.07868 (phi)
#is_fitted pdg1 pdg2 feeddown1 feeddown2 value      error                 
1          211  0    1         0         2.156883   0.09752035788105015   
1          321  0    1         0         0.2647332  0.015860010818524558  
1          310  0    1         0         0.2685388  0.01614366225398255   
1          333  0    1         0         0.0297     0.0029478805945967346 
1          2212 0    1         0         0.11538835 0.0072612118078249945 
1          3122 0    1         0         0.0667608  0.005754245009464947  
1          3312 0    1         0         0.00715    0.0007648529270389177 
1          3334 0    1         0         0.00065    0.00021213203435596425
