# Hadron yields in pPb collisions at 5.02 TeV measured by ALICE
# Centrality class: V0A1020
# References: 1307.6796 (pi, K, K0S, p), 1512.07227 (Xi, Omega), 1601.07868 (phi)
#is_fitted pdg1 pdg2 feeddown1 feeddown2 value     error               
1          211  0    1         0         14.028095 0.6649690389265114  
1          321  0    1         0         1.944816  0.15027695464242896 
1          310  0    1         0         1.937028  0.10639472695473347 
1          333  0    1         0         0.244     0.018547236990991405
1          2212 0    1         0         0.7886875 0.05425694898298787 
1          3122 0    1         0         0.5467    0.047102418451078716
1          3312 0    1         0         0.075     0.005622277118748239
1          3334 0    1         0         0.00835   0.001140175425099138
