# Hadron yields in pPb collisions at 5.02 TeV measured by ALICE
# Centrality class: V0A6080
# References: 1307.6796 (pi, K, K0S, p), 1512.07227 (Xi, Omega), 1601.07868 (phi)
#is_fitted pdg1 pdg2 feeddown1 feeddown2 value      error                
1          211  0    1         0         4.7276085  0.22008212662128612  
1          321  0    1         0         0.6096315  0.03882469122875616  
1          310  0    1         0         0.618053   0.03376033904238339  
1          333  0    1         0         0.0695     0.005555177764932461 
1          2212 0    1         0         0.26707225 0.017050597796823722 
1          3122 0    1         0         0.1677522  0.014386557843914826 
1          3312 0    1         0         0.0199     0.0015628499608087783
1          3334 0    1         0         0.0021     0.0003162277660168379
