# Hadron yields in pPb collisions at 5.02 TeV measured by ALICE
# Centrality class: V0A4060
# References: 1307.6796 (pi, K, K0S, p), 1512.07227 (Xi, Omega), 1601.07868 (phi)
#is_fitted pdg1 pdg2 feeddown1 feeddown2 value     error                
1          211  0    1         0         7.645005  0.35409465100827536  
1          321  0    1         0         1.013327  0.07094031267936159  
1          310  0    1         0         1.016456  0.05592139988454423  
1          333  0    1         0         0.1229    0.009741149829460586 
1          2212 0    1         0         0.4310645 0.028051816900655745 
1          3122 0    1         0         0.2839484 0.023642146858532644 
1          3312 0    1         0         0.0363    0.003263816784073518 
1          3334 0    1         0         0.0036    0.0005220153254455275
