# Hadron yields in pp collisions at 7 TeV measured by ALICE
# Centrality class: V0M IX-X
# Reference: 1807.11321
#is_fitted pdg1 pdg2 feeddown1 feeddown2 value               error                 
1          211  0    1         0         1.5993499999999998  0.0945003306872521    
1          321  0    1         0         0.19155             0.013850812250550506  
1          310  0    1         0         0.19265             0.009658286597528569  
1          333  0    1         0         0.02317             0.0026687169201696907 
1          2212 0    1         0         0.08277999999999999 0.006660422283909632  
1          3122 0    1         0         0.04766             0.0036524957221056404 
1          3312 0    1         0         0.004311            0.0005103236718005544 
1          3334 0    1         0         0.0002883           0.00006051660929034276
