#     is_fitted           pdg1           pdg2      feeddown1      feeddown2          value          error
              1            211              0              1              0            454             31
              1            321              0              1              0             68            5.5
              1            310              0              1              0             68              5
              1            333              0              1              0              9              1
              1           2212              0              1              0          21.05           1.75
              1           3122              0              1              0             17              2
              1           3312              0              1              0           2.57           0.18
              1           3334              0              1              0           0.39           0.08
