#     is_fitted           pdg1           pdg2      feeddown1      feeddown2          value          error
              1            211              0              1              0         668.75           47.5
              1            321              0              1              0          99.75           8.25
              1            310              0              1              0            100              8
              1            333              0              1              0          12.75           1.59
              1           2212              0              1              0          30.75            2.5
              1           3122              0              1              0             24            2.5
              1           3312              0              1              0          3.335          0.238
              1           3334              0              1              0          0.595            0.1
