#     is_fitted           pdg1           pdg2      feeddown1      feeddown2          value          error
              1            211              0              1              0         27.025           1.55
              1            321              0              1              0            3.7            0.3
              1            310              0              1              0            3.9            0.2
              1            333              0              1              0           0.51           0.07
              1           2212              0              1              0         1.4325         0.1425
              1           3122              0              1              0              1            0.1
              1           3312              0              1              0           0.12           0.01
              1           3334              0              1              0          0.016          0.003
