#     is_fitted           pdg1           pdg2      feeddown1      feeddown2          value          error
              1            211              0              1              0          253.5           16.5
              1            321              0              1              0             38              3
              1            310              0              1              0             39              3
              1            333              0              1              0           5.64           0.65
              1           2212              0              1              0          12.05              1
              1           3122              0              1              0             10              1
              1           3312              0              1              0          1.515          0.111
              1           3334              0              1              0           0.24           0.04
