#     is_fitted           pdg1           pdg2      feeddown1      feeddown2          value          error
              1            211              0              1              0          97.25           6.25
              1            321              0              1              0           14.2            1.1
              1            310              0              1              0             14              1
              1            333              0              1              0           2.08           0.24
              1           2212              0              1              0            4.9            0.4
              1           3122              0              1              0            3.8            0.4
              1           3312              0              1              0          0.535           0.04
              1           3334              0              1              0          0.085          0.015
