      dNch/deta       Tch[MeV]      dVdy[fm3]        Vc[fm3]         gammaS           K/pi          Xi/pi         phi/pi           p/pi       Omega/pi          La/pi          K*/pi  omega(782)/pi
        80.0457       0.164605         192.11        576.329       0.935623       0.171907     0.00576289      0.0229335      0.0664021    0.000952646      0.0372293        0.05492       0.114326
        85.4795       0.164434        205.151        615.453       0.941287       0.172799     0.00581283      0.0231417       0.066198    0.000966791      0.0373178      0.0551215       0.114094
        91.2823       0.164264        219.077        657.232       0.946787       0.173661     0.00586028      0.0233433      0.0659929     0.00098034      0.0373977      0.0553133       0.113866
        97.4789       0.164093        233.949        701.848       0.952092        0.17449      0.0059049      0.0235368      0.0657873    0.000993197       0.037468      0.0554941       0.113642
        104.096       0.163922        249.831        749.493       0.957175       0.175282     0.00594637       0.023721      0.0655815     0.00100527       0.037528      0.0556626       0.113425
        111.163       0.163751        266.791        800.372       0.962009       0.176031     0.00598442      0.0238944      0.0653759     0.00101647       0.037577      0.0558177       0.113213
        118.709       0.163581        284.902        854.705        0.96657       0.176735     0.00601877       0.024056      0.0651707     0.00102673      0.0376143      0.0559584       0.113007
        126.768        0.16341        304.242        912.726       0.970838       0.177391     0.00604921      0.0242047      0.0649663     0.00103596      0.0376395       0.056084       0.112808
        135.373       0.163239        324.895        974.686       0.974796       0.177995     0.00607557      0.0243397      0.0647629     0.00104412      0.0376521      0.0561938       0.112615
        144.563       0.163068        346.951        1040.85       0.978431       0.178547     0.00609771      0.0244603      0.0645606     0.00105115       0.037652      0.0562873       0.112429
        154.376       0.162898        370.504        1111.51       0.981736       0.179045     0.00611557      0.0245661      0.0643595     0.00105705       0.037639      0.0563642       0.112249
        164.856       0.162727        395.655        1186.97       0.984709       0.179488     0.00612916       0.024657      0.0641599     0.00106179      0.0376134      0.0564247       0.112075
        176.047       0.162556        422.514        1267.54       0.987351       0.179878     0.00613852      0.0247329      0.0639616     0.00106539      0.0375752      0.0564689       0.111908
        187.998       0.162385        451.196        1353.59        0.98967       0.180215     0.00614379      0.0247943      0.0637647     0.00106787      0.0375251      0.0564972       0.111748
        200.761       0.162215        481.825        1445.48       0.991679       0.180502     0.00614514      0.0248415      0.0635692     0.00106929      0.0374636      0.0565104       0.111592
        214.389       0.162044        514.534         1543.6       0.993396       0.180742      0.0061428      0.0248755      0.0633749      0.0010697      0.0373913      0.0565094       0.111443
        228.943       0.161873        549.463        1648.39       0.994839       0.180937     0.00613704      0.0248971      0.0631817     0.00106917      0.0373092      0.0564951       0.111298
        244.485       0.161702        586.763        1760.29       0.996034       0.181092     0.00612817      0.0249073      0.0629895     0.00106779      0.0372181      0.0564688       0.111157
        261.081       0.161531        626.595        1879.79       0.997007       0.181211     0.00611652      0.0249074      0.0627982     0.00106565       0.037119      0.0564316       0.111021
