      dNpipm/dy        Vc[fm3]        dNch/dy      dNch/deta           K/pi          Xi/pi         phi/pi           p/pi          Om/pi          La/pi          K*/pi  omega(782)/pi
      0.0933613              3      0.0237505      0.0197921      0.0712572    5.33777e-05      0.0611887     0.00256605    1.62127e-06     0.00105048      0.0122335       0.238174
       0.143668         4.1795      0.0463811      0.0386509      0.0769044    8.15653e-05      0.0553986     0.00358046    2.69182e-06     0.00151233       0.015092       0.218515
       0.225991        5.82274      0.0900831      0.0750692      0.0847562     0.00012872      0.0490675       0.005023    4.72354e-06     0.00220831      0.0187609        0.19697
       0.361925        8.11205       0.172489       0.143741      0.0954818    0.000210848      0.0426882     0.00710397    8.81448e-06     0.00327962      0.0233675       0.175177
       0.583287        11.3014       0.320731       0.267276       0.109534    0.000357893      0.0369064      0.0101361    1.74335e-05     0.00494624       0.028937       0.155291
       0.928507        15.7448       0.568157       0.473465       0.126425    0.000619873      0.0323053      0.0145106    3.58184e-05     0.00749099      0.0351926       0.139275
        1.43606        21.9351       0.946899       0.789083       0.143821     0.00105874      0.0291047      0.0205036    7.33318e-05      0.0111127      0.0413163       0.127908
        2.15181        30.5593        1.49169        1.24308       0.158049     0.00170197      0.0270646      0.0278588    0.000141306      0.0156194      0.0461481       0.120461
        3.14842        42.5742        2.25602        1.88002       0.167023     0.00247676      0.0257728      0.0355035    0.000243287      0.0202731      0.0491066       0.115622
        4.53342         59.313         3.3196        2.76633       0.171821     0.00322301       0.024938      0.0419988    0.000365023      0.0241725      0.0506395       0.112443
        6.45619        82.6328        4.79392        3.99493       0.174461     0.00381264      0.0243968      0.0465551       0.000482      0.0268781      0.0514619       0.110366
        9.12697        115.121        6.83806        5.69838       0.176089      0.0042286      0.0240435      0.0494312    0.000578857       0.028573      0.0519649       0.109008
        12.8421        160.383         9.6787        8.06559       0.177165     0.00451623      0.0238066      0.0512648    0.000653754      0.0296463      0.0522966       0.108097
        18.0148        223.441        13.6322        11.3601       0.177897     0.00471792      0.0236437      0.0524905    0.000710127      0.0303596      0.0525216        0.10747
        25.2192         311.29        19.1377        15.9481       0.178402     0.00486074      0.0235298      0.0533341    0.000751908      0.0308483      0.0526767       0.107031
        35.2551        433.679        26.8063        22.3386       0.178755     0.00496235      0.0234496      0.0539234     0.00078256      0.0311885      0.0527849       0.106722
        49.2359        604.187        37.4891        31.2409       0.179003     0.00503484      0.0233927      0.0543387    0.000804893      0.0314277       0.052861       0.106503
        68.7129        841.734        52.3711        43.6426       0.179179     0.00508665      0.0233522      0.0546331    0.000821094      0.0315969      0.0529149       0.106347
        95.8469        1172.68        73.1036        60.9197       0.179305     0.00512374      0.0233234      0.0548425    0.000832811      0.0317172      0.0529533       0.106236
         133.65        1633.73        101.988        84.9902       0.179393     0.00515028      0.0233027      0.0549918    0.000841256      0.0318028      0.0529803       0.106156
        186.318        2276.06        142.231        118.526       0.179455     0.00516922      0.0232876      0.0550984    0.000847314      0.0318637      0.0529992       0.106098
        259.687        3170.93         198.29        165.242       0.179502     0.00518293      0.0232772      0.0551749    0.000851717      0.0319076      0.0530135       0.106058
        361.894        4417.64        276.381        230.318        0.17954     0.00519299      0.0232704      0.0552299    0.000854975      0.0319398      0.0530252       0.106031
        504.289        6154.51        385.178        320.982       0.179566     0.00520006      0.0232653      0.0552693    0.000857251      0.0319625      0.0530329       0.106012
        702.689        8574.26        536.771        447.309       0.179576     0.00520468       0.023261      0.0552972    0.000858687      0.0319779      0.0530361       0.105995
        979.119        11945.4         747.99        623.325       0.179579     0.00520787      0.0232573      0.0553168    0.000859686      0.0319884      0.0530373       0.105981
        1364.24        16641.9        1042.26        868.548       0.179587     0.00521061      0.0232546      0.0553309     0.00086062      0.0319963      0.0530397       0.105971
        1900.73          23185        1452.19        1210.16         0.1796       0.005213      0.0232531      0.0553414     0.00086148      0.0320027      0.0530436       0.105965
        2648.11        32300.5        2023.24        1686.04        0.17961      0.0052147      0.0232524      0.0553491    0.000862076      0.0320075      0.0530466       0.105962
        3689.31          45000        2818.79        2348.99       0.179615     0.00521567      0.0232521      0.0553546    0.000862382      0.0320109       0.053048       0.105961
            HML            HML            HML            HML       0.179618     0.00521761      0.0232506      0.0553682    0.000862914      0.0320184       0.053049       0.105955
