      dNpipm/dy        Vc[fm3]        dNch/dy      dNch/deta            d/p          He3/p         H3La/p          He4/p    H3La/Lambda             S3
      0.0933614              3       0.100301      0.0835844    9.30962e-05    3.50423e-09    1.68909e-09    9.42721e-14    4.12612e-09        1.17747
       0.143668         4.1795       0.155341        0.12945    0.000123982    6.38268e-09    3.16142e-09     2.2086e-13    7.48494e-09        1.17269
       0.225992        5.82274       0.246544       0.205453    0.000169111    1.21706e-08    6.09165e-09    5.59275e-13    1.38567e-08        1.13853
       0.361927        8.11205        0.39971       0.333091    0.000235565    2.41485e-08    1.20296e-08    1.51457e-12    2.60589e-08        1.07911
       0.583291        11.3014       0.654765       0.545637    0.000333727     4.9482e-08    2.41886e-08    4.32886e-12    4.95726e-08        1.00183
       0.928518        15.7448        1.06361       0.886342    0.000477775    1.03522e-07    4.90203e-08     1.2831e-11    9.49656e-08       0.917347
        1.43609        21.9351        1.68225        1.40187     0.00068442    2.17364e-07    9.86451e-08    3.85126e-11     1.8203e-07       0.837442
        2.15189        30.5593        2.57427        2.14522    0.000968085    4.47713e-07    1.93458e-07    1.13585e-10    3.45103e-07       0.770812
        3.14858        42.5742        3.83019        3.19182     0.00133139    8.81096e-07    3.62129e-07    3.17997e-10    6.34285e-07       0.719882
        4.53368         59.313        5.58069        4.65058     0.00175256    1.61106e-06    6.32396e-07    8.13781e-10    1.09894e-06       0.682121
        6.45653        82.6328        8.00909        6.67424     0.00218096    2.66748e-06    1.00718e-06     1.8329e-09    1.74477e-06       0.654089
        9.12738        115.121        11.3774        9.48115     0.00255955     3.9464e-06     1.4447e-06    3.53847e-09    2.49964e-06       0.633397
        12.8426        160.383        16.0589        13.3825     0.00285973    5.25421e-06    1.87871e-06    5.84197e-09    3.24901e-06       0.618364
        18.0152        223.441         22.575        18.8125     0.00308475    6.43232e-06    2.26033e-06    8.42238e-09    3.90831e-06       0.607604
        25.2197         311.29        31.6493        26.3744     0.00324975    7.41091e-06    2.57157e-06    1.09335e-08    4.44627e-06       0.599963
        35.2556        433.679        44.2892        36.9076     0.00336964    8.18436e-06     2.8143e-06    1.31512e-08      4.866e-06       0.594548
        49.2364        604.187        61.8971        51.5809     0.00345633    8.77688e-06    2.99848e-06    1.49867e-08    5.18456e-06       0.590707
        68.7134        841.734        86.4267        72.0223     0.00351887    9.22168e-06     3.1358e-06    1.64411e-08    5.42212e-06       0.587975
        95.8474        1172.68          120.6          100.5     0.00356391    9.55109e-06      3.237e-06    1.75598e-08    5.59721e-06       0.586028
        133.651        1633.73        168.209        140.174     0.00359628    9.79274e-06    3.31096e-06    1.84029e-08    5.72523e-06        0.58464
        186.318        2276.06        234.538        195.448     0.00361952    9.96882e-06    3.36473e-06    1.90289e-08    5.81831e-06       0.583651
        259.688        3170.93         326.94         272.45      0.0036363    1.00968e-05    3.40374e-06    1.94902e-08     5.8858e-06       0.582938
        361.895        4417.64        455.662        379.718     0.00364843    1.01895e-05    3.43194e-06    1.98277e-08     5.9345e-06       0.582413
        504.289        6154.51        634.995        529.162     0.00365707    1.02561e-05    3.45221e-06    2.00716e-08    5.96955e-06       0.582048
         702.69        8574.26        884.857        737.381     0.00366324    1.03045e-05    3.46703e-06    2.02498e-08    5.99533e-06       0.581816
        979.121        11945.4        1232.99        1027.49     0.00366767    1.03397e-05    3.47778e-06    2.03798e-08     6.0141e-06       0.581651
        1364.24        16641.9        1717.99        1431.66     0.00367058    1.03629e-05     3.4847e-06    2.04659e-08    6.02609e-06       0.581504
        1900.73          23185        2393.65        1994.71     0.00367254    1.03782e-05    3.48911e-06    2.05228e-08     6.0336e-06        0.58137
         2648.1        32300.5        3334.91        2779.09     0.00367432    1.03916e-05    3.49307e-06    2.05729e-08    6.04036e-06       0.581271
        3689.31          45000        4646.22        3871.85     0.00367605    1.04045e-05    3.49707e-06    2.06211e-08    6.04727e-06       0.581217
            HML            HML            HML            HML     0.00367894    1.04273e-05    3.50421e-06    2.07054e-08     6.0597e-06       0.581137
